0.000000000000000e+000	1.917548e-005	3.499771e-014
1.011733352288252e-011	1.917548e-005	1.872452e-009
1.152416785181381e-011	1.917549e-005	2.160745e-009
1.715150516753897e-011	1.917702e-005	3.688652e-009
2.465462158850586e-011	1.920345e-005	6.658239e-009
3.966085443043963e-011	1.955513e-005	1.579212e-008
6.202166224136523e-011	2.097732e-005	3.729775e-008
8.400957325034564e-011	2.320490e-005	6.764817e-008
1.094911073825708e-010	2.619463e-005	1.142200e-007
3.134168449909148e-010	5.022515e-005	9.253393e-007
5.464748308290222e-010	7.722914e-005	2.796884e-006
1.000000000000000e-009	1.291194e-004	9.270260e-006
2.223457891428204e-009	2.581314e-004	4.778626e-005
3.446915782856409e-009	3.789037e-004	1.069990e-004
4.670373674284612e-009	4.914362e-004	1.869085e-004
5.893831565712817e-009	5.957290e-004	2.875147e-004
7.117289457141021e-009	6.917821e-004	4.088177e-004
8.340747348569225e-009	7.795954e-004	5.508175e-004
9.564205239997427e-009	8.591690e-004	7.135140e-004
1.402030335065777e-008	1.108820e-003	1.411744e-003
1.970070164368920e-008	1.340977e-003	2.524225e-003
2.740398865092872e-008	1.551117e-003	4.308628e-003
3.689137830609826e-008	1.711963e-003	6.782365e-003
4.789059147425964e-008	1.827669e-003	9.865111e-003
6.109285564471329e-008	1.934500e-003	1.371633e-002
7.737419027723603e-008	2.085196e-003	1.856378e-002
9.875474015290440e-008	2.378152e-003	2.498646e-002
1.287928346383209e-007	2.937089e-003	3.403585e-002
1.433183708394788e-007	3.315155e-003	3.841354e-002
1.474685240398096e-007	3.436826e-003	3.966420e-002
1.485060623398923e-007	3.467946e-003	3.997685e-002
1.505811389400577e-007	3.531450e-003	4.060216e-002
1.516258866885863e-007	3.563748e-003	4.091697e-002
1.519744567022099e-007	3.574618e-003	4.102200e-002
1.521663296095914e-007	3.580625e-003	4.107982e-002
1.522603439876620e-007	3.583573e-003	4.110815e-002
1.524317111419654e-007	3.588954e-003	4.115979e-002
1.557257740383581e-007	3.693752e-003	4.215236e-002
1.590198369347508e-007	3.791124e-003	4.314489e-002
1.623138998311436e-007	3.881070e-003	4.413737e-002
1.656079627275362e-007	3.963590e-003	4.512981e-002
1.689020256239290e-007	4.038684e-003	4.612221e-002
1.721960885203217e-007	4.106352e-003	4.711456e-002
1.754901514167144e-007	4.166593e-003	4.810687e-002
1.950431911631283e-007	4.417522e-003	5.399601e-002
2.157181734068993e-007	4.529823e-003	6.022101e-002
2.456949673978734e-007	4.558253e-003	6.924240e-002
2.766388165242755e-007	4.541418e-003	7.854883e-002
3.257403694300725e-007	4.500416e-003	9.330168e-002
4.026116803325682e-007	4.446401e-003	1.163553e-001
5.563543021375597e-007	4.366031e-003	1.622599e-001
7.166933764055615e-007	4.309678e-003	2.097589e-001
9.356756126429515e-007	4.258453e-003	2.738065e-001
9.825907262014123e-007	4.252078e-003	2.873829e-001
1.053765454723518e-006	4.243464e-003	3.078651e-001
1.069084675477301e-006	4.241799e-003	3.122555e-001
1.084403896231085e-006	4.240187e-003	3.166388e-001
1.099723116984868e-006	4.238627e-003	3.210152e-001
1.115042337738651e-006	4.237121e-003	3.253846e-001
1.130361558492434e-006	4.235667e-003	3.297470e-001
1.145680779246217e-006	4.234266e-003	3.341024e-001
1.161000000000000e-006	4.232917e-003	3.384509e-001
1.161100000000000e-006	4.232909e-003	3.384793e-001
1.161300000000000e-006	4.232891e-003	3.385360e-001
1.161380357142857e-006	4.232884e-003	3.385587e-001
1.161460714285714e-006	4.232878e-003	3.385815e-001
1.161541071428571e-006	4.232871e-003	3.386043e-001
1.161621428571429e-006	4.232864e-003	3.386271e-001
1.161701785714286e-006	4.232857e-003	3.386499e-001
1.161782142857143e-006	4.232850e-003	3.386727e-001
1.161862500000000e-006	4.232842e-003	3.386955e-001
1.161912500000000e-006	4.232827e-003	3.387097e-001
1.161923437500000e-006	4.232667e-003	3.387128e-001
1.161945312500000e-006	4.231684e-003	3.387190e-001
1.161950781250000e-006	4.231048e-003	3.387205e-001
1.161961718750000e-006	4.228893e-003	3.387236e-001
1.161978125000000e-006	4.224971e-003	3.387283e-001
1.162000000000000e-006	4.219317e-003	3.387345e-001
1.162002187500000e-006	4.218743e-003	3.387351e-001
1.162006562500000e-006	4.217595e-003	3.387364e-001
1.162015312500000e-006	4.215301e-003	3.387388e-001
1.162032812500000e-006	4.210717e-003	3.387438e-001
1.162067812500000e-006	4.201567e-003	3.387537e-001
1.162277812500000e-006	4.147195e-003	3.388133e-001
1.164237812500005e-006	3.680002e-003	3.393690e-001
1.166477812500010e-006	3.223558e-003	3.400040e-001
1.170957812500019e-006	2.477883e-003	3.412735e-001
1.176937167307043e-006	1.725751e-003	3.429668e-001
1.183020010879170e-006	1.188948e-003	3.446883e-001
1.189538441778859e-006	7.997767e-004	3.465318e-001
1.195561144258110e-006	5.576559e-004	3.482339e-001
1.201886693283811e-006	3.873230e-004	3.500203e-001
1.208026446282458e-006	2.758896e-004	3.517531e-001
1.214497679175057e-006	1.974114e-004	3.535780e-001
1.227645058185052e-006	1.099340e-004	3.572815e-001
1.249627890731695e-006	5.963399e-005	3.634612e-001
1.312385710034334e-006	5.006624e-005	3.810235e-001
1.375143529336973e-006	4.306831e-005	3.984342e-001
1.437901348639612e-006	3.864019e-005	4.156935e-001
1.500659167942251e-006	3.678189e-005	4.328012e-001
1.563416987244890e-006	3.749340e-005	4.497574e-001
1.626174806547529e-006	4.077471e-005	4.665622e-001
1.688932625850168e-006	4.662585e-005	4.832154e-001
