time	V(out)	V(n001)	V(n002)
8.623499896941838e-006	6.440604e-001	5.151674e+000	1.999867e+000
8.633499896941838e-006	6.938261e-001	5.157055e+000	1.999867e+000
8.653499896941838e-006	7.919146e-001	5.167815e+000	1.999867e+000
8.673499896941838e-006	8.880117e-001	5.178568e+000	1.999867e+000
8.693499896941837e-006	9.823388e-001	5.189314e+000	1.999867e+000
8.713499896941837e-006	1.074896e+000	5.200051e+000	1.999867e+000
8.733499896941837e-006	1.165683e+000	5.210781e+000	1.999867e+000
8.753499896941837e-006	1.254700e+000	5.221502e+000	1.999867e+000
8.773499896941837e-006	1.341946e+000	5.232215e+000	1.999867e+000
8.793499896941837e-006	1.427423e+000	5.242920e+000	1.999867e+000
8.872071325513264e-006	1.743799e+000	5.284897e+000	1.999867e+000
8.950642754084692e-006	2.041282e+000	5.326743e+000	1.999867e+000
9.029214182656119e-006	2.319872e+000	5.368457e+000	1.999867e+000
9.107785611227549e-006	2.579568e+000	5.410040e+000	1.999867e+000
9.186357039798976e-006	2.820370e+000	5.451492e+000	1.999867e+000
9.264928468370404e-006	3.042279e+000	5.492812e+000	1.999867e+000
9.343499896941831e-006	3.245295e+000	5.534001e+000	1.999867e+000
9.409214182656116e-006	3.406275e+000	5.568346e+000	1.999867e+000
9.474928468370402e-006	3.559687e+000	5.602595e+000	1.999867e+000
9.540642754084686e-006	3.705530e+000	5.636747e+000	1.999867e+000
9.606357039798972e-006	3.843804e+000	5.670802e+000	1.999867e+000
9.672071325513256e-006	3.974510e+000	5.704762e+000	1.999867e+000
9.737785611227543e-006	4.097647e+000	5.738625e+000	1.999867e+000
9.803499896941827e-006	4.213216e+000	5.772391e+000	1.999867e+000
9.813499896941827e-006	4.230479e+000	5.777521e+000	1.999867e+000
9.912071325513254e-006	4.391172e+000	5.827966e+000	1.999867e+000
1.001064275408468e-005	4.542794e+000	5.878183e+000	1.999867e+000
1.010921418265611e-005	4.685346e+000	5.928171e+000	1.999867e+000
1.020778561122754e-005	4.818828e+000	5.977931e+000	1.999867e+000
1.030635703979897e-005	4.943239e+000	6.027463e+000	1.999867e+000
