time	V(out)	V(n001)	V(n002)
0.000000000000000e+000	4.563358e-004	3.499800e-007	0.000000e+000
3.607165796628296e-012	4.563358e-004	3.515380e-007	2.480007e-005
7.214331593256592e-012	4.563358e-004	3.537664e-007	6.027657e-005
1.082149738988489e-011	4.563358e-004	3.566652e-007	1.064295e-004
1.442866318651319e-011	4.563358e-004	3.602346e-007	1.632588e-004
1.803582898314148e-011	4.563358e-004	3.644743e-007	2.307646e-004
2.164299477976978e-011	4.563358e-004	3.693846e-007	3.089468e-004
2.525016057639806e-011	4.563358e-004	3.749652e-007	3.978055e-004
4.062040119760735e-011	4.563358e-004	4.100137e-007	9.559636e-004
6.214113515181020e-011	4.563358e-004	4.842842e-007	2.139010e-003
9.258304081347684e-011	4.563358e-004	6.453066e-007	4.704698e-003
1.434177043611987e-010	4.563359e-004	1.074968e-006	1.155363e-002
2.450870314566425e-010	4.563360e-004	2.535547e-006	3.484669e-002
4.484256856475300e-010	4.563365e-004	7.001530e-006	1.060915e-001
5.933226916182250e-010	4.563372e-004	1.141605e-005	1.765290e-001
7.102059880586101e-010	4.563380e-004	1.588205e-005	2.477954e-001
7.662334071192298e-010	4.563385e-004	1.837534e-005	2.875845e-001
8.782882452404693e-010	4.563397e-004	2.402156e-005	3.776926e-001
1.012171175475953e-009	4.563415e-004	3.139787e-005	4.952165e-001
1.182567632139296e-009	4.563448e-004	4.275225e-005	6.553665e-001
1.377306439754546e-009	4.563497e-004	5.816927e-005	8.342981e-001
1.766784054985044e-009	4.563635e-004	9.651487e-005	1.179553e+000
2.545739285446041e-009	4.564055e-004	2.012190e-004	1.823054e+000
4.103649746368035e-009	4.565317e-004	4.936957e-004	2.970697e+000
6.146059533590276e-009	4.567701e-004	1.019691e-003	4.236203e+000
9.035093078260924e-009	4.572243e-004	1.992932e-003	5.642181e+000
1.265514196714422e-008	4.579363e-004	3.493033e-003	6.934105e+000
1.717232887144261e-008	4.589871e-004	5.684220e-003	8.012145e+000
2.329968801400156e-008	4.605861e-004	8.999594e-003	8.901367e+000
3.008181693897874e-008	4.624914e-004	1.293878e-002	9.436220e+000
3.877578494891678e-008	4.650424e-004	1.820762e-002	9.757065e+000
4.909501716582424e-008	4.681355e-004	2.459830e-002	9.910741e+000
6.343456943950970e-008	4.724711e-004	3.356798e-002	9.976671e+000
1.064760948647988e-006	7.570708e-004	6.622210e-001	9.999333e+000
1.065861973395077e-006	7.609830e-004	6.630197e-001	9.999333e+000
1.066482039943899e-006	7.744036e-004	6.637686e-001	9.999333e+000
1.066825946804304e-006	7.959084e-004	6.644484e-001	9.999333e+000
1.067035044069824e-006	8.205426e-004	6.649407e-001	9.999333e+000
1.067301388872648e-006	8.637895e-004	6.655474e-001	9.999333e+000
1.067416625520391e-006	8.858127e-004	6.657763e-001	9.999333e+000
1.067452948748940e-006	8.934048e-004	6.658262e-001	9.999333e+000
1.067491100275236e-006	9.015874e-004	6.658604e-001	9.999333e+000
1.067534943619503e-006	9.110622e-004	6.658928e-001	9.999333e+000
1.067585248403020e-006	9.219946e-004	6.659251e-001	9.999333e+000
1.067640562395323e-006	9.340697e-004	6.659570e-001	9.999333e+000
1.067721011665621e-006	9.516957e-004	6.659995e-001	9.999333e+000
1.067810265989544e-006	9.713116e-004	6.660441e-001	9.999333e+000
1.067958628004586e-006	1.004004e-003	6.661149e-001	9.999333e+000
1.068112577447182e-006	1.038002e-003	6.661866e-001	9.999333e+000
1.068392488669225e-006	1.099935e-003	6.663153e-001	9.999333e+000
1.068684196919567e-006	1.164576e-003	6.664491e-001	9.999333e+000
1.069220422333298e-006	1.283559e-003	6.666971e-001	9.999333e+000
1.069835991737374e-006	1.420301e-003	6.669868e-001	9.999333e+000
1.070955489118766e-006	1.669250e-003	6.675273e-001	9.999333e+000
1.072374956337870e-006	1.985234e-003	6.682378e-001	9.999333e+000
