time	V(out)	V(n001)	V(n002)
8.323219397344491e-006	4.820575e+000	4.984127e+000	9.999333e+000
1.032321939734449e-005	5.879071e+000	6.029962e+000	9.999333e+000
1.232321939734449e-005	6.844884e+000	6.980701e+000	9.999333e+000
1.432321939734450e-005	7.702781e+000	7.821351e+000	9.999333e+000
1.464847376915243e-005	7.833713e+000	7.949313e+000	9.999333e+000
1.497372814096035e-005	7.960839e+000	8.073416e+000	9.999333e+000
1.529898251276828e-005	8.084157e+000	8.193662e+000	9.999333e+000
1.562423688457621e-005	8.203669e+000	8.310050e+000	9.999333e+000
1.594949125638414e-005	8.319375e+000	8.422580e+000	9.999333e+000
1.627474562819207e-005	8.431273e+000	8.531252e+000	9.999333e+000
1.660000000000000e-005	8.539365e+000	8.636066e+000	9.999333e+000
1.660100000000000e-005	8.539692e+000	8.636383e+000	9.999333e+000
1.660110000000000e-005	8.539724e+000	8.636415e+000	9.986165e+000
1.660130000000000e-005	8.539789e+000	8.636478e+000	9.935537e+000
1.660160000000000e-005	8.539887e+000	8.636574e+000	9.790356e+000
1.660212000000000e-005	8.540057e+000	8.636738e+000	9.398751e+000
1.660324000000000e-005	8.540423e+000	8.637093e+000	8.419069e+000
1.660452000000001e-005	8.540841e+000	8.637498e+000	7.448844e+000
1.660708000000001e-005	8.541675e+000	8.638309e+000	5.843881e+000
1.661074772740520e-005	8.542868e+000	8.639469e+000	4.084657e+000
1.661456085737007e-005	8.544107e+000	8.640676e+000	2.787492e+000
1.661866102996217e-005	8.545440e+000	8.641973e+000	1.839739e+000
1.662238892379557e-005	8.546650e+000	8.643150e+000	1.257776e+000
1.662628373537827e-005	8.547912e+000	8.644381e+000	8.483160e-001
1.663002021393334e-005	8.549118e+000	8.645561e+000	5.808943e-001
1.663391861272294e-005	8.550373e+000	8.646791e+000	3.917325e-001
1.663769355048203e-005	8.551586e+000	8.647983e+000	2.671567e-001
1.664157016550763e-005	8.552831e+000	8.649205e+000	1.804875e-001
1.664535681347065e-005	8.554045e+000	8.650399e+000	1.229631e-001
1.664921835335229e-005	8.555282e+000	8.651616e+000	8.319430e-002
1.665301726515275e-005	8.556499e+000	8.652813e+000	5.661521e-002
1.665686936889672e-005	8.557732e+000	8.654026e+000	3.833784e-002
1.666067653000863e-005	8.558950e+000	8.655225e+000	2.606949e-002
