time	V(out)	V(n001)	V(n002)
2.437432976727754e-006	1.505123e+000	1.522205e+000	9.999333e+000
3.308712615768784e-006	2.042898e+000	2.059817e+000	9.999333e+000
4.179992254809813e-006	2.572333e+000	2.589034e+000	9.999333e+000
5.051271893850844e-006	3.093427e+000	3.109856e+000	9.999333e+000
5.922551532891874e-006	3.606181e+000	3.622285e+000	9.999333e+000
6.793831171932904e-006	4.110595e+000	4.126318e+000	9.999333e+000
7.665110810973933e-006	4.606668e+000	4.621958e+000	9.999333e+000
9.665110810973934e-006	5.681446e+000	5.695544e+000	9.999333e+000
1.166511081097394e-005	6.666656e+000	6.679309e+000	9.999333e+000
1.366511081097394e-005	7.546760e+000	7.557737e+000	9.999333e+000
1.408438069512052e-005	7.719238e+000	7.729838e+000	9.999333e+000
1.450365057926710e-005	7.885706e+000	7.895922e+000	9.999333e+000
1.492292046341368e-005	8.046165e+000	8.055987e+000	9.999333e+000
1.534219034756026e-005	8.200614e+000	8.210034e+000	9.999333e+000
1.576146023170684e-005	8.349055e+000	8.358063e+000	9.999333e+000
1.618073011585342e-005	8.491486e+000	8.500074e+000	9.999333e+000
1.660000000000000e-005	8.627908e+000	8.636066e+000	9.999333e+000
1.660100000000000e-005	8.628225e+000	8.636383e+000	9.999333e+000
1.660110000000000e-005	8.628257e+000	8.636415e+000	9.986165e+000
1.660130000000000e-005	8.628321e+000	8.636478e+000	9.935537e+000
1.660160000000000e-005	8.628416e+000	8.636574e+000	9.790356e+000
1.660212000000000e-005	8.628580e+000	8.636738e+000	9.398751e+000
1.660324000000000e-005	8.628933e+000	8.637093e+000	8.419069e+000
1.660452000000001e-005	8.629332e+000	8.637498e+000	7.448844e+000
1.660708000000001e-005	8.630123e+000	8.638309e+000	5.843881e+000
1.661074772740520e-005	8.631250e+000	8.639469e+000	4.084657e+000
1.661456085737007e-005	8.632418e+000	8.640676e+000	2.787492e+000
1.661866102996217e-005	8.633675e+000	8.641973e+000	1.839739e+000
1.662238892379557e-005	8.634816e+000	8.643150e+000	1.257776e+000
1.662628373537827e-005	8.635995e+000	8.644381e+000	8.483160e-001
1.663002021393334e-005	8.637101e+000	8.645561e+000	5.808943e-001
1.663391861272294e-005	8.638232e+000	8.646791e+000	3.917325e-001
1.663769355048203e-005	8.639318e+000	8.647983e+000	2.671567e-001
1.664157016550763e-005	8.640431e+000	8.649205e+000	1.804875e-001
1.664535681347065e-005	8.641524e+000	8.650399e+000	1.229631e-001
1.664921835335229e-005	8.642647e+000	8.651616e+000	8.319430e-002
1.665301726515275e-005	8.643759e+000	8.652813e+000	5.661521e-002
1.665686936889672e-005	8.644896e+000	8.654026e+000	3.833784e-002
1.666067653000863e-005	8.646029e+000	8.655225e+000	2.606949e-002
1.666452145989812e-005	8.647181e+000	8.656435e+000	1.766512e-002
1.666833446494262e-005	8.648332e+000	8.657634e+000	1.200569e-002
1.667217439776969e-005	8.649498e+000	8.658841e+000	8.139033e-003
1.667599161179297e-005	8.650663e+000	8.660041e+000	5.529346e-003
1.667982798341019e-005	8.651840e+000	8.661245e+000	3.749756e-003
1.668364818289216e-005	8.653017e+000	8.662445e+000	2.546735e-003
1.668748201969463e-005	8.654203e+000	8.663649e+000	1.727489e-003
1.669130434804762e-005	8.655390e+000	8.664847e+000	1.173033e-003
1.669513638326305e-005	8.656583e+000	8.666049e+000	7.958190e-004
1.669896022754095e-005	8.657776e+000	8.667248e+000	5.403166e-004
1.670279098070904e-005	8.658973e+000	8.668448e+000	3.666097e-004
1.670661590424465e-005	8.660172e+000	8.669646e+000	2.488826e-004
1.671044574527526e-005	8.661372e+000	8.670845e+000	1.688834e-004
1.671810062919078e-005	8.663778e+000	8.673240e+000	7.779740e-005
1.673134211949107e-005	8.667949e+000	8.677378e+000	2.096336e-005
1.676283863954877e-005	8.677881e+000	8.687197e+000	8.136855e-007
1.676758914233583e-005	8.679378e+000	8.688675e+000	4.340804e-007
1.677087658971424e-005	8.680334e+000	8.689687e+000	3.023250e-007
1.677231256145109e-005	8.680593e+000	8.690118e+000	2.591245e-007
1.677305165369068e-005	8.680614e+000	8.690343e+000	2.404064e-007
