time	V(out)	V(n001)	V(n002)
0.000000000000000e+000	4.563358e-004	3.499800e-007	0.000000e+000
3.607165796628296e-012	4.563358e-004	3.515380e-007	2.480007e-005
7.214331593256592e-012	4.563358e-004	3.537664e-007	6.027657e-005
1.082149738988489e-011	4.563358e-004	3.566652e-007	1.064295e-004
1.442866318651319e-011	4.563358e-004	3.602346e-007	1.632588e-004
1.803582898314148e-011	4.563358e-004	3.644743e-007	2.307646e-004
2.164299477976978e-011	4.563358e-004	3.693846e-007	3.089468e-004
2.525016057639806e-011	4.563358e-004	3.749652e-007	3.978055e-004
4.062040119760735e-011	4.563358e-004	4.100137e-007	9.559636e-004
6.214113515181424e-011	4.563358e-004	4.842842e-007	2.139010e-003
9.258304081349442e-011	4.563358e-004	6.453066e-007	4.704698e-003
1.434177043613167e-010	4.563358e-004	1.074968e-006	1.155363e-002
2.450870314569612e-010	4.563358e-004	2.535546e-006	3.484669e-002
4.484256856482503e-010	4.563359e-004	7.001529e-006	1.060915e-001
5.933226916174220e-010	4.563360e-004	1.141605e-005	1.765290e-001
7.102059880616566e-010	4.563360e-004	1.588204e-005	2.477954e-001
7.662334071115308e-010	4.563361e-004	1.837534e-005	2.875845e-001
8.782882452112793e-010	4.563362e-004	2.402155e-005	3.776926e-001
1.012171175478872e-009	4.563364e-004	3.139786e-005	4.952165e-001
1.182567632183081e-009	4.563367e-004	4.275224e-005	6.553665e-001
1.377306439845035e-009	4.563372e-004	5.816923e-005	8.342981e-001
1.766784055168941e-009	4.563386e-004	9.651480e-005	1.179553e+000
2.545739285816754e-009	4.563428e-004	2.012188e-004	1.823054e+000
4.103649747112379e-009	4.563554e-004	4.936953e-004	2.970697e+000
6.146061295287712e-009	4.563793e-004	1.019690e-003	4.236203e+000
9.035096337179501e-009	4.564247e-004	1.992932e-003	5.642183e+000
1.265514834686923e-008	4.564959e-004	3.493034e-003	6.934106e+000
1.717236782456611e-008	4.566010e-004	5.684236e-003	8.012153e+000
2.329970919705850e-008	4.567610e-004	8.999600e-003	8.901370e+000
3.008186187313917e-008	4.569515e-004	1.293880e-002	9.436222e+000
3.877581319503548e-008	4.572067e-004	1.820763e-002	9.757066e+000
4.909508418170733e-008	4.575161e-004	2.459833e-002	9.910741e+000
6.343462299449830e-008	4.579497e-004	3.356800e-002	9.976672e+000
1.064760393906059e-006	4.864156e-004	6.622206e-001	9.999333e+000
1.065861371474782e-006	4.868066e-004	6.630192e-001	9.999333e+000
1.066481411468656e-006	4.881479e-004	6.637679e-001	9.999333e+000
1.066825262371714e-006	4.902976e-004	6.644476e-001	9.999333e+000
1.067034439844509e-006	4.927621e-004	6.649400e-001	9.999333e+000
1.067300842678223e-006	4.970887e-004	6.655469e-001	9.999333e+000
1.067416281246116e-006	4.992958e-004	6.657764e-001	9.999333e+000
1.067452827890305e-006	5.000602e-004	6.658268e-001	9.999333e+000
1.067491205698671e-006	5.008839e-004	6.658611e-001	9.999333e+000
1.067535216604186e-006	5.018358e-004	6.658937e-001	9.999333e+000
1.067586166750427e-006	5.029440e-004	6.659265e-001	9.999333e+000
1.067641598935944e-006	5.041551e-004	6.659583e-001	9.999333e+000
1.067722891218410e-006	5.059378e-004	6.660012e-001	9.999333e+000
1.067812521156967e-006	5.079096e-004	6.660458e-001	9.999333e+000
1.067978199584426e-006	5.115643e-004	6.661248e-001	9.999333e+000
1.068127764797230e-006	5.148709e-004	6.661944e-001	9.999333e+000
1.068417175846777e-006	5.212819e-004	6.663272e-001	9.999333e+000
1.068716145534944e-006	5.279151e-004	6.664645e-001	9.999333e+000
1.069272711000487e-006	5.402815e-004	6.667222e-001	9.999333e+000
1.069905441508466e-006	5.543585e-004	6.670204e-001	9.999333e+000
1.071066378599831e-006	5.802221e-004	6.675823e-001	9.999333e+000
1.072537278385881e-006	6.130382e-004	6.683211e-001	9.999333e+000
