time	V(out)	V(n001)	V(n002)
9.965133881297315e-008	2.550609e-002	7.220849e+000	9.998863e+000
9.975133881297314e-008	2.552826e-002	7.227051e+000	9.998868e+000
1.020386389825457e-007	2.603071e-002	7.367433e+000	1.000241e+001
1.043259391521182e-007	2.652285e-002	7.504519e+000	1.000379e+001
1.066132393216907e-007	2.700466e-002	7.638309e+000	1.000301e+001
1.089005394912632e-007	2.747615e-002	7.768801e+000	1.000008e+001
1.111878396608358e-007	2.793731e-002	7.895997e+000	9.994985e+000
1.134751398304083e-007	2.838816e-002	8.019897e+000	9.987733e+000
1.157624399999808e-007	2.882868e-002	8.140499e+000	9.978322e+000
1.166686342856759e-007	2.899848e-002	8.187271e+000	9.128057e+000
1.175748285713709e-007	2.916486e-002	8.233484e+000	8.338021e+000
1.184810228570660e-007	2.932781e-002	8.279140e+000	7.608212e+000
1.193872171427611e-007	2.948733e-002	8.324238e+000	6.938631e+000
1.202934114284561e-007	2.964343e-002	8.368778e+000	6.329278e+000
1.211996057141512e-007	2.979609e-002	8.412761e+000	5.780154e+000
1.221057999998463e-007	2.994533e-002	8.456185e+000	5.291257e+000
1.230200857141321e-007	3.009303e-002	8.499421e+000	4.836612e+000
1.239343714284178e-007	3.023797e-002	8.542068e+000	4.414403e+000
1.248486571427036e-007	3.038017e-002	8.584126e+000	4.024631e+000
1.257629428569894e-007	3.051962e-002	8.625595e+000	3.667295e+000
1.266772285712752e-007	3.065632e-002	8.666475e+000	3.342395e+000
1.275915142855610e-007	3.079027e-002	8.706767e+000	3.049933e+000
1.285057999998468e-007	3.092148e-002	8.746469e+000	2.789906e+000
1.294200857141326e-007	3.105025e-002	8.785573e+000	2.550186e+000
1.303343714284183e-007	3.117664e-002	8.824070e+000	2.327570e+000
1.312486571427041e-007	3.130065e-002	8.861958e+000	2.122055e+000
1.321629428569899e-007	3.142229e-002	8.899239e+000	1.933644e+000
1.330772285712757e-007	3.154154e-002	8.935912e+000	1.762335e+000
1.339915142855615e-007	3.165842e-002	8.971977e+000	1.608129e+000
1.349057999998472e-007	3.177293e-002	9.007435e+000	1.471026e+000
1.358200857141330e-007	3.188520e-002	9.042276e+000	1.344629e+000
1.367343714284188e-007	3.199527e-002	9.076492e+000	1.227251e+000
1.376486571427046e-007	3.210314e-002	9.110084e+000	1.118890e+000
1.385629428569904e-007	3.220880e-002	9.143052e+000	1.019547e+000
1.394772285712762e-007	3.231226e-002	9.175395e+000	9.292214e-001
1.403915142855619e-007	3.241351e-002	9.207113e+000	8.479136e-001
1.413057999998477e-007	3.251256e-002	9.238207e+000	7.756234e-001
1.422200857141335e-007	3.260947e-002	9.268668e+000	7.089789e-001
1.431343714284193e-007	3.270425e-002	9.298490e+000	6.470890e-001
1.440486571427051e-007	3.279690e-002	9.327673e+000	5.899539e-001
1.449629428569909e-007	3.288742e-002	9.356217e+000	5.375735e-001
1.458772285712766e-007	3.297581e-002	9.384121e+000	4.899479e-001
1.467915142855624e-007	3.306207e-002	9.411386e+000	4.470769e-001
1.477057999998482e-007	3.314619e-002	9.438012e+000	4.089607e-001
1.486200857141340e-007	3.322821e-002	9.463991e+000	3.738212e-001
1.495343714284198e-007	3.330812e-002	9.489319e+000	3.411888e-001
1.504486571427055e-007	3.338593e-002	9.513994e+000	3.110633e-001
1.513629428569913e-007	3.346163e-002	9.538018e+000	2.834448e-001
1.522772285712771e-007	3.353522e-002	9.561390e+000	2.583334e-001
1.531915142855629e-007	3.360670e-002	9.584111e+000	2.357290e-001
1.541057999998487e-007	3.367607e-002	9.606179e+000	2.156315e-001
1.550200857141345e-007	3.374335e-002	9.627589e+000	1.971036e-001
1.559343714284202e-007	3.380851e-002	9.648337e+000	1.798976e-001
1.568486571427060e-007	3.387157e-002	9.668423e+000	1.640135e-001
1.577629428569918e-007	3.393252e-002	9.687847e+000	1.494511e-001
1.586772285712776e-007	3.399136e-002	9.706608e+000	1.362107e-001
1.595915142855634e-007	3.404810e-002	9.724708e+000	1.242921e-001
1.605057999998492e-007	3.410272e-002	9.742145e+000	1.136954e-001
1.614343714284207e-007	3.415604e-002	9.759171e+000	1.037853e-001
1.623629428569922e-007	3.420718e-002	9.775506e+000	9.459074e-002
1.632915142855637e-007	3.425614e-002	9.791149e+000	8.611173e-002
1.642200857141352e-007	3.430292e-002	9.806101e+000	7.834829e-002
1.651486571427067e-007	3.434751e-002	9.820361e+000	7.130041e-002
1.660772285712782e-007	3.438992e-002	9.833930e+000	6.496808e-002
1.670057999998497e-007	3.443015e-002	9.846807e+000	5.935132e-002
1.679486571427069e-007	3.446875e-002	9.859169e+000	5.410465e-002
1.688915142855641e-007	3.450510e-002	9.870813e+000	4.924130e-002
1.698343714284213e-007	3.453919e-002	9.881737e+000	4.476126e-002
1.707772285712785e-007	3.457102e-002	9.891942e+000	4.066455e-002
1.717200857141357e-007	3.460058e-002	9.901428e+000	3.695114e-002
1.726629428569929e-007	3.462789e-002	9.910194e+000	3.362106e-002
1.736057999998501e-007	3.465294e-002	9.918241e+000	3.067429e-002
1.745772285712788e-007	3.467637e-002	9.925775e+000	2.788714e-002
1.755486571427074e-007	3.469740e-002	9.932542e+000	2.530833e-002
1.765200857141361e-007	3.471602e-002	9.938540e+000	2.293786e-002
